续表			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2006 年	二等奖	日照港股份通信公司	档案为公司二十周年庆典提供服务， 扩大知名度
2006 年	二等奖	五莲县国税局	充分利用征管档案，选准监控点，实 现石材开采业税收管理新突破
2006 年	二等奖	五莲县户部乡党委	利用党员致富示范小区档案，引导农 民发家致富
2006 年	二等奖	五莲县档案馆	提供库区移民档案，将国家移民扶持 政策落到实处
2006 年	二等奖	五莲县教育局	建成荣誉展室，再现档案魅力
2006 年	二等奖	五莲县财贸办	利用财贸流通档案’提高企业经济效益
2006 年	二等奖	莒县城乡建设局	利用室藏档案资料编修莒县城乡建设志
2006 年	二等奖	莒县人民医院	利用室藏档案资料编修莒县人民医院志
2007 年	一等奖	曰照市档案局	利用数字档案资源及技术探索机关档 案集约管理集成服务新模式
2007 年	一等奖	日照市档案局	利用馆藏照片编印《百年日照〉画册
2007 年	一等奖	日照市档案局	举办大型图片展览展现跨越发展历程
2007 年	一等奖	日照市公路局	充分利用科技档案进行公路路堑段地 下水的反渗防治措施应用研究
2007 年	二等奖	日照市档案局	开发家庭档案资源，举办档案巡回展览
2007 年	二等奖	日照市档案局	日照人手册
2007 年	二等奖	日照市公路局材料处	充分利用各种门类档案，建设SBS改 性沥青生产线
2007 年	二等奖	日照市高速公路路政大队	充分利用机务档案制作清障救援车气 管接头
2007 年	二等奖	同三高速公路日照管理处	利用设备档案，开发高速公路设备在 线管理信息系统
2007 年	二等奖	日照市东港区公路局	充分利用档案资源成功编歎东港公路志》
2007 年	二等奖	日照市工商局	利用音像照片档案制作专题片《情系消费 者汗洒太阳城一日照市消费者协会成 立十周年> 为日照消费维权作出重要贡献
2007 年	二等奖	日照港（集团）动力公 司	依靠档案，优化港区供水系统
