续表		
宗 类	小 项	数 量
	9.商业、金融	2088 卷
	合计29000卷	
城市建设科学类	1.城市规划设计	190卷
	2.城市建设	100卷
	合计290卷	
水利防灾类	1.水利工程	50卷
	2.防灾防汛工程	120卷
	3.防灾防震	70卷
	合计240卷	
工程设计类	1.工程建筑设计	60卷
	2.民用建筑设计	80卷
	3.市政工程设计	130卷
	合计270卷	
名胜古迹、园林绿化类	1.公园	90卷
	2.绿地苗圃	180卷
	3.古木古树	70卷
	合计340卷	
公共设施类	1.给水	180卷
	2.供气	230卷
	3.供热	262卷
	共计672卷	
声像类	1.照片	544张
	2.录像带	4盒
	3.录音带	2盒
	4.光盘与磁盘	3GB
