续表			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2007 年	二等奖	日照港股份二公司	利用档案信息资源改造吸尘车副机发 动机进气系统
2007 年	二等奖	日照港股份三公司	发挥档案效用降低型钢装卸材料成本
2007 年	二等奖	日照港股份通信公司	利用档案，通过了质量体系认证，为 公司创造经济效益
2007 年	二等奖	日照港科检中心	利用档案信息资源，实现日照港与青 岛港两个亿吨大港的战略合作
2007 年	二等奖	五莲县户部乡人民政府	创建肉牛养殖示范户档案，带动全乡 农民致富
2007 年	二等奖	五莲县供电公司	利用电力科技档案实现王世疃变电站 改造工程
2007 年	二等奖	五莲县洪凝镇计生委	利用计生档案，实现全镇人口和计生 工作全覆盖无缝隙管理
2007 年	二等奖	五莲县图书馆	改造地下管网工程，基建档案发挥巨 大作用
2007 年	二等奖	五莲县汪湖镇中心小学	档案助学校网站建设
2007 年	二等奖	五莲县广播电视局	利用声像档案建设社会主义新农村
2007 年	二等奖	五莲县民政局	利用社会组织档案开发应用“两个信息 管縣统，’服务社会农村建设
2007 年	二等奖	五莲县档案局	挖掘档案资源，汇集利用成效，编辑 出版《魅力兰台》，服务重大活动
2008 年	一等奖	日照市档案局	依托馆藏出版《日照改革开放30周年 成就大型画册》
2008 年	一等奖	日照市公路局	充分利用声像档案制作抗震救灾事迹 报告
2008 年	一等奖	日照职业技术学院	利用档案资源，为学院二十年校庆提 供重要史料
2008 年	一等奖	五莲县广播电视局	利用技术档案线电mm通工程
2008 年	一等奖	日照港科检中心	日元贷款档案为胡锦涛主席访日提供 可靠数据
