续表			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2005 年	一等奖	日照市公路局	利用录像照片档案制作专题片〈踏平 坎坷成坦途——日照市“十五”干线 公路养护与管理工作回眸》
2005 年	一等奖	日照市档案局	强化档案服务功能，开创“红头文 件”进社区新模式
2005 年	一等奖	日照港（集团）有限公 司档案馆	利用档案资源，建设港口展览馆，丰 富港口文化
2005 年	一等奖	中共五莲县委办公室	利用档案资源编纂〈社会主义时期中 共五莲历史专题资料>
2005 年	二等奖	日照市档案局	编印政府创新成果，服务全市跨越发展
2005 年	二等奖	日照市工商局	充分利用档案资料，编写《工商行政 管理志〉
2005 年	二等奖	日照港股份一公司	靠档案节能降耗，消除噪音环境，取 得较好社会和经济效益
2005 年	二等奖	日照港股份一公司	档案为公司争创全国先进，提高声誉 扩大知名度
2005 年	二等奖	五莲县第一中学	利用学校档案资源，建立校史馆，编 写了《校史〉
2005 年	二等奖	日照市五莲县地税局	利用城建档案与征收档案对土地使用 税、房产税征收范围进行重新办公界定
2005 年	二等奖	日照市五莲县教育局	开发利用教育档案，续编〈五莲县教育志〉
2006 年	一等奖	日照市工商局	建设数字化档案室，实现立体化服务
2006 年	二等奖	日照市人民医院	开发利用病案档案信息资源选择开放 性眼外伤玻璃体积血的手术时机
2006 年	二等奖	日照港（集团）有限公 司档案馆	利用科技档案优化日照港矿石码头工 程施工图设计
2006 年	二等奖	岚山港务有限公司档案 室	利用档案，建设展览馆，开展创业教 育
2006 年	二等奖	日照港（集团）股份三 公司	发挥档案资源效能降低散粮系统MSI 除铁器故障率
2006 年	二等奖	日照港股份通信公司	以档案为依据，避免土地损失
