续表			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2008 年	二等奖	五莲县户部乡党委	创建大樱桃种植示范户档案，带动全 乡农民致富
2008 年	二等奖	五莲县街头中学	利用档案资源，整理五十周年校庆有 关信息
2008 年	二等奖	五莲县汪湖镇中心小学	档案助学校展室建设
2008 年	二等奖	五莲县叩关镇中心小学	利用档案资源提高太阳能小学知名度
2008 年	二等奖	日照港铁运公司	机车状态检测技术应用
2008 年	二等奖	日照港口医院	利用病案信息资源，防范医疗风险
2008 年	二等奖	日照港科检中心	依靠档案，争创部优工程，提高港口 知名度
2008 年	二等奖	日照港股份一公司	依靠档案，开发应用日照港翻车机分 布式光缆测温预警系统
2008 年	二等奖	曰照港（集团）有限公 司办公室	日照港（集团）有限公司办公室典型 文件库建设
(注：以上颁奖单位均为山东省档案局；二等奖以下内容略）			
