续表			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2003 年	一等奖	日照市环境保护局	编制日照生态市建设规划
2003 年	二等奖	铒照市档案局	开发利用档案资源，为地方编史著书 服务
2003 年	二等奖	日照港集装箱公司	发挥档案潜能提高皮带机接卸效率
2003 年	二等奖	A照港（集团）有限公司 档案馆	利用科技档案优化日照港中港区油码 头栈桥工程施工设计图
2003 年	二等奖	五莲县供电公司	110KV髙泽输变电新建工程
2003 年	二等奖	山东日照烟草有限公司五 莲分公司	利用土壤普查档案和气象档案实现全 县烟叶规模生产
2003 年	二等奖	山东同^团股份有限公司	MCHJ100型碾米成套设备
2003 年	二等奖	山东同泰集团股份有限公司	GH型混流式涡轮增压器
2004 年	一等奖	日照市公路局	利用档案资料编制纪念建局15周年图 册《日照公路辉煌历程》
2004 年	一等奖	日照职业技术学院	有效利用室藏档案，为学院的发展贡 献力量
2004 年	二等奖	日照市档案局	利用馆藏照片档案编辑《馆藏珍贵照 片集锦》
2004 年	二等奖	曰照市爱国:员会	利用室藏档案编制《日照市创建国家 卫生城市技术报告》
2004 年	二等奖	日照市档案馆	利用馆藏照片档案编辑《市级领导重 大活动专辑》
2004 年	二等奖	日照港（集团）有限公司 档案馆	利用档案资源，避免土地重复征用
2004 年	二等奖	日照港股份一公司	依靠档案解决劳动纠纷,提高公司声誉
2004 年	二等奖	日照港股份有限公司	充分利用档案资源，挖掘馆藏潜能， 为公司股票发行奠定基础
2004 年	二等奖	日照市档案馆	编印发行《走向开放服务社会》有 力推动档案事业健康发展
2004 年	二等奖	五莲县人民医院	利用基建档案实施门诊楼加层工程
